id,text
167,to participate
168,mean
169,have develop
170,develop -PRON- play accommodate
171,develop
172,may receive
173,have change
174,to keep
175,to contest
176,couple
177,have be
178,begin run
179,designate
180,be intend
181,be permit between
182,be permit
183,be increase
184,force
185,be consistently take
186,may give
187,to run to retrieve
188,to run
189,may employ
190,will apply make
191,will apply cause
192,will apply
193,have remain
194,design
195,promulgate
196,withdraw
197,[ be ] president [ of ]
198,be credit
199,[ be ] vice president [ of ]
200,[ be ] general secretary [ of ]
201,[ be ] then president [ of ]
202,decide to reintroduce
203,decide
204,can generate
205,have a powerful one handed stroke in
206,impart
207,note
208,must win
209,also call
210,state
211,crush
212,ca n't help feel
213,ca n't help
214,place
215,publish
216,rank
217,enjoy
218,to have
219,have win
220,believe
221,be regard
222,may play
223,gain
224,to be call
225,can be translate
226,be n't
227,could be hit
228,be know
229,emerge
230,follow
231,be determine
232,must be
233,build
234,be play
235,have length of
236,to reach
237,be stretch
238,be hold up
239,have height of
240,be high
241,have the net post of
242,be organize
243,may be organize
244,draw
245,sport
246,to have be
247,implement
248,do not offer
249,may earn income by participate
250,may earn
251,be break up
252,be form
253,earn
254,refer
255,have various draw of
256,to enter
257,cause
258,have surround
259,return
260,after watch
261,fascinate
262,lay
263,win a silver cup worth $ 100 by defeat
264,win the single title by defeat
265,name
266,be win
267,normally use
268,organize
269,be form on
270,[ be ] national [ from ]
271,by toss
272,remain
273,may be hit
274,get
275,bounce over
276,miss
277,be found
278,try to hit
279,try
280,to use
281,be not touch
282,stem
283,need
284,alternate hitting
285,alternate
286,fall
287,can not hit
288,must travel
289,cross
290,move
291,be change
292,be also use
293,wear out quickly
294,will signal
295,be change in
296,[ be ] friend [ of ]
297,combine
298,found
299,say
300,deserve
301,feel
302,dominate
303,have say
304,travel over the net without touch
305,travel
306,be treat
307,can serve
308,touch
309,establish
310,play exhibition match to pay
311,could not compete
312,turn
313,can result
314,apply
315,may be damage
316,may be match
317,be adjust periodically
318,do
319,rate
320,would rate
321,would be
322,be host
323,honor
324,be designate
325,may start
326,receive
327,must not provide
328,stuff
329,be gradually change
330,to be approve
331,must conform
332,define
333,must weigh
334,be traditionally manufacture
335,have be call
336,suffer
337,strive to master the conventional overhand to maximize
338,strive
339,strive to master
340,spin
341,patent
342,owe
343,be modify in
344,be modify
345,be rename
346,do not have
347,be not reduce
348,have be downgrade to
349,have be downgrade
350,take over
351,involve
352,normally reserve
353,to utilize
354,do not use the alley execute
355,do not use
356,be not sanction
357,compose
358,be describe respectively
359,be describe
360,have be score
361,be not call out
362,reportedly believe
363,think
364,regard
365,have have the maximum length of
366,be shorten
367,be resume
368,halt
369,be locate
370,may not change
371,may overrule
372,revolve
373,may not have the frame of
374,may not be
375,be set
376,[ be ] professional [ of ]
377,allow thus
378,colloquially term
379,be know simply
380,[ be ] army officer major [ from ]
381,[ be ] museum curator at
382,agree
383,popularize enormously
384,produce
385,send
386,have include
387,be definitely
388,assemble
389,be name
390,delineate
391,make up
392,must be deliver
393,run
394,generally perform
395,approach
396,be hit
397,lie
398,be strike
399,evolve
400,accordingly have
401,with play outdoors
402,spread
403,drink
404,be first tennis player [ of ]
405,set up
406,to consist
407,[ be ] match [ of ]
408,feature
409,can hold
410,originate
411,announce play
412,play also refer
413,play also
414,occur
415,set
416,be extend
417,be not announce
418,award
419,be bear
420,descend
421,visit
422,"use -PRON- knowledge of lightweight , collapsible structure to inspire"
423,"use -PRON- knowledge of lightweight , collapsible structure to create"
424,be build just south
425,file for an american patent receiving
426,file
427,be sell in
428,base
429,be sell
430,invent the spitfire undercarriage live work
431,invent the spitfire undercarriage live
432,invent
433,to swivel whilst
434,retire from aeronautical design form
435,retire
436,would aluminium
437,go
438,to design
439,be commission
440,appear
441,appoint
442,want e.g.
443,be really
444,report
445,be perform
446,shout
447,be fight
448,[ be ] pet dog [ of ]
449,state refer
450,[ be ] mouse [ of ]
451,list
452,be include
453,wear
454,extend
455,represent
456,be introduce
457,be re - release
458,be publish
459,be license
460,can visit
461,be build
462,have be derogatorily call
463,be precede
464,most famously feature
465,typically utilize
466,be most famously feature
467,be manufacture in
468,be manufacture
469,be indicate
470,have receive
471,to actually win
472,have be announce
473,center
474,pitch
475,[ be ] veteran [ of ]
476,as desperately try to unload
477,as desperately try
478,be show
479,can mean
480,to have diverge
481,to focus
482,would continue to focus
483,would continue
484,to appear
485,put
486,would surpass
487,reintroduce
488,would go together
489,be nominate
490,would star
491,be co - direct
492,assist
493,to find
494,featured change to mickey 's appearance ( in particular simplifying
495,be reportedly impress
496,have instal
497,so be
498,be produce
499,would become
500,add
501,work on add
502,work
503,[ be ] crazy [ of ]
504,be continuously feature
505,do not actually speak
506,be also put
507,decide to produce
508,would lose
509,have fade
510,prohibit show
511,prohibit
512,be feel
513,soldier
514,pit
515,exist
516,engage in consume
517,engage
518,depict
519,to pay
520,be order
521,sue
522,[ be ] law school professor [ from ]
523,be live
524,maintain
525,be depict
526,have be show
527,to place
528,to depict
529,show
530,reuse
531,[ be ] dog [ of ]
532,be pester
533,come
534,have be air
535,be derive in
536,be derive
537,be own
538,reference
539,derogatorily comment on daffy duck 's idea for the name of -PRON- basketball team ask
540,derogatorily comment
541,be reference
542,be create
543,be create in
544,typically wear
545,have become
546,have be know in
547,to appear fraudulently
548,'s
549,have be feature extensively
550,draw primarily
551,have also appear
552,also appear
553,be unofficially know
554,[ be ] mickey mouse [ of ]
555,have center
556,oughta be
557,be feature
558,lend
559,to appear regularly
560,be satirize
561,to be use commercially
562,may not be use
563,famously feature
564,[ be ] now defunct mouse [ of ]
565,stand
566,grace
567,have play
568,be portray
569,have participate
570,be find
571,be limit
572,would remain
573,would provide
574,be establish
575,be purchase
576,be characterize
577,be turn down
578,assign
579,to continue
580,be apparently
581,bear
582,appear no matter
583,to represent
584,to recreate
585,look
586,be see
587,be redesign
588,be give
589,would only last
590,be remove
591,present
592,do not provide
593,be select
594,do n't get
595,be see regularly
596,be wear
597,be not wear
598,ai n't
599,reply
600,point out
601,nearly cost
602,secretly begin animate
603,secretly begin
604,have sign
605,animate
606,[ be ] a former artist [ of ]
607,can be find
608,have voice
609,be provide in
610,be primary voice actor [ of ]
611,be look
612,be provide
613,have be license
614,have grace
615,be recognize
616,as have
617,declare
618,have state
619,as say
620,be quote
621,be ruin
622,beat
623,have good stop run
624,have good stop
625,explain
626,would look
627,have save
628,[ be ] prime minister [ of ]
629,title
630,release
631,have make
632,jail
633,walk
634,[ be ] cartoonist [ from ]
635,mark
636,be the voice of
637,keep
638,have tell
639,recount
640,treat
641,[ be ] the voice of
642,would marry
643,also provide
644,voice
645,could not find
646,to impress
647,go on to produce
648,be also not release
649,do not reflect
650,unambiguously propagandize
651,be easily recognize
652,have appear
653,be approach
654,have be reprint
655,only include
656,expand
657,[ be ] uncle [ of ]
658,[ be ] be cow [ of ]
659,be follow
660,ban
661,fear
662,to see
663,to suddenly stop print
664,to suddenly stop
665,be replace
666,ask
667,instead demand reveal
668,instead demand
669,own
670,demand
671,remind
672,contractually owe
673,refuse
674,to restart
675,be dismayed
676,learn
677,to feature
678,have release
679,head
680,synchronize
681,do not keep
682,have debate
683,have be variously attribute
684,provide
685,be voice from
686,be voice
687,could not do
688,to do
689,be become
690,be hand over
691,[ be ] voice [ of ]
692,can be hear
693,to provide
694,to record
695,be travel
696,perform
697,be perhaps
698,feature at all
699,cast
700,to come
701,find -PRON- unable to control the broom lead
702,to control
703,hear
704,shake
705,have be picture
706,[ be ] an attraction at
707,have be describe
708,start then
709,subtly include
710,to be animate
711,leave to start
712,bankroll
713,have fall
714,have harbor
715,credit
716,to credit
717,tend
718,to leave
719,do not become
720,bring
721,begin to revitalize
722,have consciously undertake to depict
723,have consciously undertake
724,emphasize
725,have be spearhead
726,search
727,to accept
728,to work
729,would return
730,to assure
731,end up
732,be not release
733,be sweep up
734,tell
735,be vote
736,would put
737,would reach
738,would receive
739,be locate on
740,would have
741,fade
742,have earn
743,begin to phase out
744,can not be away
745,be rereleas
746,be follow up
747,[ be ] star [ of ]
748,have produce of talk
749,have produce
750,contrast
751,as only consist
752,redesign
753,[ be ] ward [ of ]
754,praise
755,to be draw
756,want
757,like
758,be be base
759,share
760,to receive
761,paint
762,threaten
763,replace
764,to start draw up
765,to start
766,appeal
767,would turn up
768,would show up
769,to create
770,inspire
771,[ be ] wife [ of ]
772,to change
773,convinced
774,be inspire
775,claim
776,to name
777,[ be ] historian [ of ]
778,never keep an office or other work space have
779,never keep
780,be distribute
781,have be locate
782,have be debunk
783,have star
784,aim
785,be port
786,wield
787,officially debut
788,appear primarily
789,[ be ] girlfriend [ of ]
790,generally appear
791,be rebrand
792,begin to rebrand
793,will remain
794,may be
795,argue
796,rise
797,rule
798,be differentiate
799,associate
800,be not use
801,be assign
802,be lose
803,be descend
804,never appear
805,apparently die
806,be title
807,start to use
808,only gain
809,die
810,[ be ] eld daughter [ of ]
811,[ be ] emperor [ of ]
812,be succeed
813,style
814,not show
815,position
816,appear together
817,be add
818,be top
819,be support
820,issue jointly
821,issue
822,be choose due
823,be split in
824,prevail
825,[ be ] brother [ of ]
826,[ be ] son [ of ]
827,generally rule
828,[ be ] king [ of ]
829,be seize
830,have be rule
831,[ be ] grandson duke [ of ]
832,seek to consolidate
833,seek
834,result
835,suggest
836,possess
837,formally know
838,conjoin
839,[ be ] designate duke of
840,have old son of
841,[ be ] first cousin [ of ]
842,[ be ] ruler of
843,grant
844,initiate
845,be invent
846,most famously associate
847,have be pass over
848,to denote
849,refuse to recognize
850,be never
851,[ be ] ancestor of
852,britain - descend
853,be make up
854,have mostly marry most famously
855,reflect
856,may have
857,to take on
858,[ be ] duke of
859,[ be ] daughter [ of ]
860,to give
861,acquire
862,attempt to secure
863,-PRON- be und
864,be no longer
865,use the tripartite arm generally forgo
866,[ be ] emperor of
867,[ be ] son of
868,[ be ] eld son [ of ]
869,[ be ] son duke [ of ]
870,[ be ] cousin [ of ]
871,be incorporate in
872,be incorporate
873,attempt to introduce
874,forge
875,ignore the rule lead
876,ignore
877,achieve
878,never set
879,[ be ] governor of
880,[ be ] illegitimate son of
881,[ be ] husband [ of ]
882,[ be ] holy roman emperor from
883,be only officially recognize
884,be grant
885,be mostly
886,integrate
887,be subject to
888,be bring
889,read
890,read indivisible
891,[ be ] queen consort of
892,[ be ] empress consort of
893,to be unite
894,be continuously occupy
895,be split
896,nevertheless maintain
897,attach
898,retain
899,[ be ] seventh generation descendant [ of ]
900,have move
901,have be heretofore
902,be only united
903,be necessarily
904,[ be ] father [ of ]
905,control
906,[ be ] only daughter [ of ]
907,manage to hold
908,manage
909,act
910,be lay in
911,[ be ] granddaughter [ of ]
912,[ be ] king of
913,be lay
914,be celebrate on
915,be celebrate
916,[ be ] grandson [ of ]
917,be explain
918,also spell then
919,duke gradually lose south
920,be rule
921,be analyze
922,be collectively know
923,[ be ] brother of
924,be choose in
925,to succeed
926,be choose
927,crown
928,have attempt to gain
929,have attempt
930,to counter
931,do not stay
932,be likewise assign
933,be the mother of
934,[ be ] a daughter of
935,[ be ] maria luisa duchess of
936,[ be ] have divorce wife [ of ]
937,have divorce
938,settle
939,[ be ] illegitimate daughter of
940,be kill
941,to travel to rome to receive
942,to travel
943,be occupy
944,be also recognize
945,proclaim
946,would automatically become
947,to be crown
948,have officially of
949,[ be ] dowager queen of
950,locate
951,[ be ] the adventurous second son of
952,to take
953,be invite
954,support
955,accompany
956,encourage
957,[ be ] consort [ of ]
958,be shoot in
959,be shoot
960,be duke of
961,have guardian of
962,have sigismund of
963,expand -PRON- influence by gain
964,to gain
965,profit
966,renounce
967,[ be ] the last ruler [ of ]
968,[ be ] last ruler [ of ]
969,recognize
970,reign
971,collapse
972,accept
973,renounce of regain
974,banish
975,dethrone
976,revoke
977,make to regain
978,be the wife of
979,be a son of
980,[ be ] victor [ of ]
981,marry
982,be dissolve on
983,be dissolve
984,have declare
985,to cover
986,henceforth do n't include
987,duke
988,indicate
989,intermarry
990,be recognize quite notably
991,may have be
992,have be trace
993,unite
994,be govern directly
995,effectively unite
996,have the netherlands of
997,be conquer
998,revert
999,unilaterally assume
1000,have gain
1001,to build
1002,[ be ] family [ of ]
1003,also know
1004,inherit
1005,be expel
1006,[ be ] wife of
1007,[ be ] habsburg heiress of
1008,subsume
1009,be collectively refer
1010,also comprise
1011,[ be ] the daughter of
1012,be crown
1013,to restore
1014,[ be ] the duke of
1015,be base
1016,reinforce
1017,write
1018,zu
1019,diesem
1020,kommt
1021,survive
1022,be also strengthen
1023,split
1024,rule together
1025,commonly distribute
1026,vest
1027,do not thereby become
1028,may be combine
1029,[ be ] brother emperor [ of ]
1030,have marry
1031,carry
1032,be display
1033,impale
1034,be re - conquer in
1035,would be murder
1036,be dispossess
1037,adopt
1038,reside
1039,have re - conquer
1040,do not formally abandon
1041,have be pass
1042,refuse to recognise
1043,choose to name
1044,gather
1045,[ be ] second son [ of ]
1046,to vastly expand
1047,separate
1048,[ be ] count of
1049,elect
1050,be displace
1051,do n't gain
1052,secure
1053,be sometime
1054,be king of
1055,be lord of
1056,can be see
1057,be know e.g.
1058,keep up
1059,can be infer
1060,can affect
1061,to act
1062,should correspond
1063,may act
1064,occur also
1065,to pre - exist
1066,be restrict
1067,can travel
1068,to regulate
1069,be any member of
1070,be transport
1071,secrete
1072,to include
1073,may occur
1074,may regulate
1075,be regulate
1076,can not trigger
1077,must be trigger
1078,belong
1079,must cross
1080,can do
1081,encode
1082,increase
1083,be associate
1084,store
1085,can be quickly convert
1086,be typically
1087,exit
1088,trigger
1089,may respond differently
1090,can be inhibit
1091,stimulate
1092,to bring
1093,may be recognize
1094,activate
1095,be embed
1096,typically trigger
1097,interact
1098,can perform
1099,be use extensively
1100,derive
1101,to communicate
1102,bind
1103,may lead
1104,must bond
1105,must be activate
1106,indirectly use
1107,diffuse
1108,do have
1109,discover
1110,use a telescope to study
1111,damp
1112,have fail
1113,[ be ] the astronomer [ from ]
1114,[ be ] astronomer [ from ]
1115,be estimate
1116,be equal to
1117,have the total mass for
1118,account
1119,to have complete
1120,to complete
1121,be the center of
1122,to form
1123,collide
1124,rotate differentially
1125,do not depend strongly
1126,describe
1127,have be estimate
1128,may have drop
1129,have suggest
1130,have suggest through study
1131,not affect
1132,detect
1133,use this observation to suggest
1134,to collapse
1135,orbit
1136,amplify
1137,identify
1138,instead have
1139,to host
1140,estimate
1141,may be orbit
1142,be observe
1143,to regard
1144,report observe brighter
1145,may have be cause apart
1146,be tightly
1147,would be connect
1148,would form
1149,should form
1150,can not be distinguish
1151,be view
1152,resolve
1153,glow
1154,be supposedly make
1155,contradict
1156,have be term
1157,be move
1158,may consist
1159,propose
1160,criticize this view argue
1161,criticize
1162,[ be ] philosopher [ of ]
1163,should have
1164,do not
1165,to be cause
1166,be discover in
1167,be discover
1168,to be expand
1169,trans
1170,be detect
1171,stretch up
1172,drive
1173,be best interpret
1174,surround
1175,can coalesce to form
1176,can coalesce
1177,rip off
1178,too form
1179,study
1180,[ be ] doctoral student [ of ]
1181,have show a similar ring structure suggest
1182,have show
1183,can involve
1184,mimic
1185,have be find
1186,be estimate in
1187,can be derive
1188,occupy
1189,commonly have
1190,only crudely describe
1191,be probably not
1192,have observe
1193,be faint
1194,notice
1195,concern
1196,resemble
1197,from rush all
1198,prevent
1199,do n't collide
1200,be incline
1201,be situate
1202,pass directly
1203,be mark
1204,harbor
1205,be good explain
1206,have slay
1207,be say
1208,interact gravitationally
1209,be spread out relatively uniformly
1210,arise
1211,range
1212,closely resemble
1213,to suspect
1214,be confirm
1215,obscure
1216,do not take
1217,tear
1218,restate
1219,be liken
1220,out be
1221,may actually belong
1222,wrap
1223,would mean
1224,by measure
1225,can be estimate
1226,to undergo
1227,have a good fit estimate of
1228,be accrete
1229,have undergo
1230,shape
1231,speculate
1232,be suppose
1233,be surround
1234,have be find at
1235,can follow
1236,decrease
1237,drop much faster
1238,would be disrupt
1239,would probably be eject
1240,be carry out
1241,spread out
1242,to fit
1243,be merge
1244,be tentatively name
1245,could be
1246,be settle in
1247,be conclusively settle
1248,to produce
1249,could use
1250,to identify
1251,be block
1252,jpg
1253,advocate
1254,nestle
1255,do not trace
1256,may be surround
1257,be align
1258,can be describe
1259,have provide
1260,pack
1261,to distinguish
1262,construct
1263,manage to make out individual point source lending
1264,manage to make out
1265,lack
1266,actively form
1267,populate
1268,will have be extinguish
1269,have the mass of
1270,may have obtain
1271,generally organize
1272,typically contain
1273,must consider
1274,variously revolve
1275,be not create
1276,would be see
1277,conjecture
1278,appear nowhere
1279,have add
1280,[ be ] major [ of ]
1281,can be reduce
1282,should be
1283,can not see
1284,to have be drag
1285,[ be ] minor [ of ]
1286,have the small dwarf galaxy of
1287,have diameter of
1288,be bind
1289,have be absorb
1290,to contain
1291,radiate
1292,observe
1293,would decrease
1294,can not be detect directly
1295,be attribute
1296,may explain
1297,fight
1298,be approve
1299,be divide into
1300,be centrally administer
1301,be divide
1302,be administer directly
1303,have this status in
1304,have this status with
1305,take possession of these aircraft ferry
1306,to fight
1307,contribute
1308,life
1309,have experience
1310,have take off fill
1311,to offer
1312,continue after resign
1313,can consist
1314,link
1315,be know statewide
1316,to eclipse
1317,be heavily subsidize
1318,have the average low temperature of
1319,be light in
1320,stay
1321,average
1322,hit a reef spill
1323,[ be ] national [ of ]
1324,have go
1325,be near
1326,will be
1327,forget not adopt
1328,have do
1329,regularly support
1330,have vote
1331,be carry
1332,have carry
1333,defeat
1334,[ be ] governor [ of ]
1335,be run mate [ of ]
1336,capture 40 % of the state 's vote in that election make
1337,capture
1338,star
1339,direct
1340,be manage
1341,employ
1342,have be characterize
1343,relate
1344,have work
1345,have be give
1346,have home of
1347,have populous city of
1348,live
1349,be home
1350,stretch inland
1351,do not live
1352,have not be establish
1353,be scatter
1354,not serve
1355,complete construction to help
1356,complete
1357,complete extensive remodeling to help
1358,stretch
1359,be draw
1360,experience
1361,outbreak
1362,can consume
1363,can find
1364,await
1365,[ be ] native [ from ]
1366,have have
1367,have partial four year scholarship to
1368,have attempt to combat this by offer
1369,have attempt to combat
1370,to study
1371,authorize
1372,be re - elect
1373,be set at
1374,commemorate
1375,to compete
1376,more accurately follow
1377,situate
1378,be dominate
1379,be commonly refer
1380,favor
1381,exhibit
1382,be mostly locate
1383,depend heavily
1384,be not film
1385,be film
1386,be film in
1387,be set in
1388,[ be ] businessman [ from ]
1389,entirely make
1390,mostly lie
1391,grow
1392,spearhead
1393,be develop
1394,be largely set
1395,catering
1396,can be prevent
1397,[ be ] north star [ of ]
1398,be assess
1399,to increase dramatically
1400,be primarily
1401,import
1402,up
1403,have the population of
1404,premier
1405,be release
1406,preserve
1407,celebrate
1408,have unemployment rate of
1409,[ be ] appoint daughter [ of ]
1410,resign
1411,have per personal income of
1412,be not include
1413,be not connect
1414,film
1415,spar
1416,be handle
1417,rely
1418,do not carry
1419,enforce
1420,can fall
1421,have precipitation of
1422,have a year of
1423,depend primarily
1424,do not levy
1425,report regularly
1426,directly affect
1427,have be pay out
1428,be distribute to
1429,take out
1430,must have live
1431,may subject
1432,anchor
1433,consider
1434,rename
1435,be transfer
1436,never colonize
1437,be border
1438,pertain
1439,be cede
1440,manage independently
1441,merge the city government to form
1442,merge
1443,have the cost of
1444,have many village can be of
1445,[ be ] marine [ from ]
1446,market
1447,operate
1448,have time of
1449,collect
1450,have be identify
1451,be not divide
1452,function somewhat similarly
1453,do not cover
1454,transport
1455,be generally hold
1456,have serve
1457,after briefly join
1458,be elect
1459,after leave
1460,subsequently officially rejoin
1461,to be exploit
1462,[ be ] contest national [ of ]
1463,have fund
1464,[ be ] whale [ of ]
1465,attract
1466,value
1467,only hear
1468,gradually become establish
1469,pray
1470,have report
1471,[ be ] geographer [ of ]
1472,have visit
1473,amount
1474,would spend
1475,be propose
1476,[ be ] state representative [ of ]
1477,be champion
1478,have serve as an attractive political prospect divert
1479,would normally be deposit
1480,have spur
1481,be build in
1482,carry out
1483,inhabit
1484,organize not
1485,be share
1486,limit
1487,run separately
1488,have create a summertime tourism market mainly connect
1489,have create
1490,debark
1491,may rise
1492,be connect
1493,be plan on expand
1494,be plan
1495,have be vote for
1496,have be vote
1497,[ be ] favorite [ of ]
1498,have total flight cancellation for
1499,[ be ] pilot [ of ]
1500,experience an engine flameout force
1501,be redirect
1502,be cover
1503,to ignore
1504,be tell
1505,to land
1506,have use
1507,stop
1508,depart
1509,match
1510,pull
1511,attempt to compete
1512,swap
1513,to conduct
1514,have category iii instrument landing system allow
1515,9l have category iii instrument landing system allow
1516,9l have
1517,ils
1518,permanently closed
1519,have [ number of ] gate
1520,[ be ] virgin [ of ]
1521,be use also
1522,have agree
1523,to be use primarily
1524,have agree to pay
1525,be process
1526,board
1527,blow up
1528,be destroy
1529,to operate
1530,attend
1531,quickly make serve
1532,quickly make
1533,reach to shift
1534,fly
1535,crash injure
1536,[ be ] partner [ of ]
1537,have express
1538,intend to expand
1539,intend
1540,in recruit
1541,likewise shift
1542,be redevelop
1543,divert
1544,be partly necessitate
1545,will remove
1546,to dive
1547,kill
1548,be circle
1549,branch off
1550,may access locally
1551,[ be ] artist [ from ]
1552,can lead
1553,can have
1554,agree to modify -PRON- flight schedule to help
1555,agree to modify
1556,would be require
1557,have not have
1558,do receive
1559,would alleviate
1560,have also be
1561,have commit
1562,officially end all resistance cease
1563,officially end
1564,face
1565,agree to pay
1566,be disinter
1567,reburi
1568,be operate
1569,be sign
1570,be generate
1571,crash
1572,run 24 hour a day provide
1573,undergo
1574,be run
1575,intersect
1576,to reduce
1577,essentially eliminate
1578,would most likely be
1579,to be construct
1580,[ be ] reserve [ of ]
1581,recommend
1582,reallocate
1583,open
1584,do not accommodate
1585,normally assign
1586,be conduct
1587,[ be ] parent company [ of ]
1588,be upgrade
1589,will involve
1590,do not want
1591,would require
1592,partially lie
1593,will entail
1594,have concourse g of
1595,be enlarge into
1596,be enlarge
1597,taxi
1598,avert
1599,accommodate
1600,lose -PRON- left wing engine killing
1601,be demolish
1602,choose to concentrate
1603,[ be ] the source of
1604,would take
1605,would cost
1606,would likely cost
1607,may become
1608,would go
1609,will look
1610,will spend the next 10 month come up
1611,will spend the next 10 month put out
1612,will spend the next 10 month evaluate
1613,will spend
1614,will spend then put out
1615,will spend then draft
1616,will spend then evaluate
1617,will spend then
1618,have be propose
1619,can be use simultaneously
1620,serve as a foul weather arrival runway address
1621,redesign the departure route for midway airport increase
1622,redesign the departure route for both o'hare airport increase
1623,have maximum aircraft arrival capacity to
1624,[ be ] 's senior vice president of
1625,could not handle
1626,to handle
1627,be use for
1628,to relocate
1629,have invest
1630,have expand
1631,cost
1632,will increase
1633,to expand up
1634,will improve
1635,catch fire destroy
1636,catch
1637,shorten
1638,be shorten in
1639,be permanently shorten
1640,be rename in
1641,to honor
1642,concourse
1643,be relocate to
1644,be relocate
1645,be damage
1646,be break
1647,be consider add
1648,will be use for
1649,will be use almost exclusively
1650,align
1651,sit
1652,be estimate at
1653,be be control
1654,have up tear down
1655,do not park
1656,have mostly evolve
1657,have a voluntary nighttime of
1658,overrun
1659,derail
1660,roll
1661,crash 30 mi east of o'hare killing
1662,happen
1663,eliminate
1664,further complicate
1665,cite
1666,have endorse
1667,be use from
1668,have be reconfigur
1669,crash kill
1670,be design
1671,be officially dedicate
1672,renovate
1673,close
1674,commission
1675,mover
1676,be undergo
1677,appropriate
1678,be implement
1679,be recruit to
1680,be recruit chiefly
1681,could handle
1682,approve
1683,will be designate
1684,have express in use
1685,have also market
1686,[ be ] the current mayor of
1687,have push
1688,have consistently attempt to increase
1689,have consistently attempt
1690,be open
1691,to meet
1692,be the director of
1693,[ be ] a pioneer of
1694,be annex
1695,could offer
1696,launch
1697,beat out
1698,impose
1699,be surpass mainly
1700,have the most runway of
1701,arrive
1702,offload
1703,will have
1704,be separate
1705,to ride
1706,to exit
1707,transfer
1708,be do
1709,be plan to restart
1710,have pull out
1711,team up
1712,for live
1713,jokingly criticize
1714,support donald refer
1715,to sell
1716,to catch
1717,be name in
1718,may have be inspire
1719,be tour
1720,decide to name
1721,possibly read
1722,[ be ] performer [ of ]
1723,audition
1724,to voice
1725,want to create
1726,could be bestow
1727,have lose
1728,visit sweden to supervise
1729,to be exactly
1730,have span
1731,begin publish
1732,recognise better
1733,to commemorate
1734,translate
1735,sell
1736,have grow up
1737,voice donald make
1738,to be voice
1739,be mentor
1740,have be perform
1741,be hear
1742,land
1743,to search look
1744,befriend
1745,be twice
1746,be torment
1747,be also be produce
1748,also have be appear
1749,be write
1750,be mostly subdue
1751,to be dilute
1752,be unable
1753,[ be ] call mouse [ of ]
1754,have grow
1755,better know
1756,[ be ] publisher [ from ]
1757,theme
1758,mostly publish
1759,quote
1760,[ be ] artist [ of ]
1761,especially associate
1762,[ be ] star [ from ]
1763,can identify
1764,be well have
1765,attempt to control
1766,muster
1767,tragically believe
1768,heckle -PRON- lead
1769,heckle
1770,to fly
1771,have mostly be
1772,to be use
1773,dress
1774,[ be ] founder [ of ]
1775,work to make
1776,[ be ] rival [ of ]
1777,[ be ] editor [ from ]
1778,do not include
1779,save
1780,have * donald of
1781,be nickname
1782,include n
1783,watch
1784,have the luck of
1785,be work directly
1786,be re - draw
1787,to license
1788,have lead
1789,be primarily know
1790,be most famously draw
1791,[ be ] rich uncle [ of ]
1792,to become
1793,go on
1794,come out
1795,stumble across other character of planning
1796,stumble
1797,be be hop
1798,to say
1799,be be try
1800,have give up
1801,like to exclaim
1802,be be frustrating
1803,be be antagonize
1804,confront
1805,greet
1806,[ be ] neighbour [ of ]
1807,be recast
1808,begin create
1809,[ be ] pirate [ of ]
1810,would repeat
1811,address
1812,[ be ] mother [ of ]
1813,express
1814,spoil
1815,to lose
